approve,disapprove,spread,date,candidate
42.9,53.4,-10.5,2021-12-28,President Biden
42.9,53.4,-10.5,2021-12-27,President Biden
43.0,53.0,-10.0,2021-12-23,President Biden
44.1,52.1,-8.0,2021-12-20,President Biden
44.1,50.3,-6.2,2021-12-19,President Biden
44.1,50.3,-6.2,2021-12-18,President Biden
44.0,50.5,-6.5,2021-12-17,President Biden
44.0,50.5,-6.5,2021-12-16,President Biden
42.9,50.4,-7.5,2021-12-15,President Biden
42.9,50.4,-7.5,2021-12-14,President Biden
43.1,50.3,-7.2,2021-12-13,President Biden
42.3,51.8,-9.5,2021-12-10,President Biden
42.3,52.0,-9.7,2021-12-08,President Biden
42.9,51.5,-8.6,2021-12-07,President Biden
42.4,51.2,-8.8,2021-12-06,President Biden
42.3,52.2,-9.9,2021-12-05,President Biden
42.3,52.2,-9.9,2021-12-04,President Biden
42.3,52.2,-9.9,2021-12-03,President Biden
42.2,52.1,-9.9,2021-12-02,President Biden
41.9,52.4,-10.5,2021-12-01,President Biden
41.8,52.5,-10.7,2021-11-30,President Biden
41.8,52.5,-10.7,2021-11-29,President Biden
41.7,52.5,-10.8,2021-11-28,President Biden
41.6,53.1,-11.5,2021-11-27,President Biden
41.6,53.1,-11.5,2021-11-25,President Biden
41.6,53.1,-11.5,2021-11-24,President Biden
41.3,53.4,-12.1,2021-11-22,President Biden
41.3,53.4,-12.1,2021-11-21,President Biden
41.3,53.4,-12.1,2021-11-20,President Biden
41.3,53.4,-12.1,2021-11-19,President Biden
41.3,53.4,-12.1,2021-11-18,President Biden
41.5,53.2,-11.7,2021-11-17,President Biden
41.9,52.7,-10.8,2021-11-16,President Biden
42.0,52.7,-10.7,2021-11-14,President Biden
42.4,52.2,-9.8,2021-11-13,President Biden
42.4,52.2,-9.8,2021-11-12,President Biden
42.3,52.3,-10.0,2021-11-11,President Biden
42.8,51.5,-8.7,2021-11-10,President Biden
42.6,51.8,-9.2,2021-11-09,President Biden
42.8,51.7,-8.9,2021-11-08,President Biden
43.1,50.6,-7.5,2021-11-07,President Biden
43.1,50.6,-7.5,2021-11-06,President Biden
43.1,50.6,-7.5,2021-11-05,President Biden
43.0,51.1,-8.1,2021-11-03,President Biden
43.0,51.1,-8.1,2021-11-02,President Biden
43.0,51.1,-8.1,2021-11-01,President Biden
42.6,51.9,-9.3,2021-10-31,President Biden
42.5,52.4,-9.9,2021-10-29,President Biden
42.4,52.1,-9.7,2021-10-28,President Biden
42.3,52.1,-9.8,2021-10-27,President Biden
42.2,52.1,-9.9,2021-10-26,President Biden
42.3,52.1,-9.8,2021-10-25,President Biden
42.3,52.1,-9.8,2021-10-23,President Biden
42.7,51.3,-8.6,2021-10-22,President Biden
42.8,51.3,-8.5,2021-10-21,President Biden
42.9,51.4,-8.5,2021-10-20,President Biden
43.7,51.9,-8.2,2021-10-19,President Biden
43.7,52.1,-8.4,2021-10-18,President Biden
43.7,51.9,-8.2,2021-10-17,President Biden
43.9,52.1,-8.2,2021-10-16,President Biden
43.9,52.1,-8.2,2021-10-15,President Biden
43.7,51.9,-8.2,2021-10-14,President Biden
44.1,52.0,-7.9,2021-10-13,President Biden
43.0,52.3,-9.3,2021-10-12,President Biden
43.0,52.5,-9.5,2021-10-11,President Biden
43.3,52.0,-8.7,2021-10-10,President Biden
43.4,50.3,-6.9,2021-10-08,President Biden
44.3,48.9,-4.6,2021-10-07,President Biden
44.6,48.7,-4.1,2021-10-06,President Biden
45.1,47.9,-2.8,2021-10-04,President Biden
45.2,49.2,-4.0,2021-10-01,President Biden
45.3,49.4,-4.1,2021-09-30,President Biden
45.2,50.0,-4.8,2021-09-29,President Biden
45.4,50.6,-5.2,2021-09-27,President Biden
45.7,50.3,-4.6,2021-09-26,President Biden
45.7,50.3,-4.6,2021-09-25,President Biden
45.7,50.3,-4.6,2021-09-24,President Biden
46.0,50.0,-4.0,2021-09-23,President Biden
46.0,50.1,-4.1,2021-09-22,President Biden
46.1,50.0,-3.9,2021-09-21,President Biden
45.8,49.7,-3.9,2021-09-20,President Biden
45.3,49.8,-4.5,2021-09-17,President Biden
45.4,49.5,-4.1,2021-09-16,President Biden
45.2,49.8,-4.6,2021-09-15,President Biden
45.2,49.8,-4.6,2021-09-14,President Biden
45.2,49.8,-4.6,2021-09-13,President Biden
45.2,49.7,-4.5,2021-09-12,President Biden
45.4,49.1,-3.7,2021-09-11,President Biden
45.4,49.1,-3.7,2021-09-10,President Biden
45.3,49.4,-4.1,2021-09-09,President Biden
45.3,49.5,-4.2,2021-09-08,President Biden
45.9,48.6,-2.7,2021-09-07,President Biden
45.6,49.1,-3.5,2021-09-06,President Biden
45.2,49.3,-4.1,2021-09-05,President Biden
45.2,49.3,-4.1,2021-09-04,President Biden
45.2,49.3,-4.1,2021-09-03,President Biden
45.4,49.4,-4.0,2021-09-02,President Biden
45.8,49.2,-3.4,2021-09-01,President Biden
46.8,48.7,-1.9,2021-08-31,President Biden
47.4,48.6,-1.2,2021-08-30,President Biden
47.4,48.4,-1.0,2021-08-28,President Biden
47.4,48.4,-1.0,2021-08-27,President Biden
46.9,49.1,-2.2,2021-08-26,President Biden
46.9,49.1,-2.2,2021-08-25,President Biden
46.6,48.9,-2.3,2021-08-24,President Biden
48.3,47.3,1.0,2021-08-23,President Biden
48.2,48.0,0.2,2021-08-22,President Biden
48.6,48.2,0.4,2021-08-20,President Biden
49.6,47.0,2.6,2021-08-19,President Biden
49.6,47.2,2.4,2021-08-18,President Biden
49.9,46.1,3.8,2021-08-17,President Biden
50.0,46.0,4.0,2021-08-16,President Biden
50.1,45.9,4.2,2021-08-13,President Biden
50.1,45.6,4.5,2021-08-11,President Biden
50.3,43.7,6.6,2021-08-10,President Biden
50.3,43.7,6.6,2021-08-09,President Biden
50.2,43.9,6.3,2021-08-08,President Biden
50.2,43.9,6.3,2021-08-07,President Biden
50.6,43.8,6.8,2021-08-06,President Biden
50.6,43.8,6.8,2021-08-05,President Biden
50.7,43.7,7.0,2021-08-04,President Biden
51.6,43.4,8.2,2021-08-03,President Biden
51.3,44.9,6.4,2021-07-31,President Biden
51.3,44.6,6.7,2021-07-30,President Biden
51.3,44.6,6.7,2021-07-29,President Biden
52.2,43.8,8.4,2021-07-27,President Biden
52.5,43.5,9.0,2021-07-24,President Biden
52.5,42.5,10.0,2021-07-23,President Biden
52.4,43.1,9.3,2021-07-20,President Biden
38.2,56.8,-18.6,2021-07-18,President Biden
52.0,43.4,8.6,2021-07-16,President Biden
52.0,43.4,8.6,2021-07-14,President Biden
52.4,43.0,9.4,2021-07-13,President Biden
52.6,42.9,9.7,2021-07-10,President Biden
52.5,42.9,9.6,2021-07-09,President Biden
52.5,42.9,9.6,2021-07-07,President Biden
51.4,44.1,7.3,2021-07-06,President Biden
51.4,44.1,7.3,2021-07-05,President Biden
51.4,44.1,7.3,2021-07-04,President Biden
51.7,44.5,7.2,2021-07-02,President Biden
52.7,43.0,9.7,2021-07-01,President Biden
53.1,42.6,10.5,2021-06-28,President Biden
53.0,43.1,9.9,2021-06-27,President Biden
53.0,43.1,9.9,2021-06-25,President Biden
53.0,43.3,9.7,2021-06-24,President Biden
52.5,43.3,9.2,2021-06-23,President Biden
52.4,43.4,9.0,2021-06-21,President Biden
52.3,43.7,8.6,2021-06-18,President Biden
53.8,41.1,12.7,2021-06-11,President Biden
52.7,41.4,11.3,2021-06-08,President Biden
53.0,41.4,11.6,2021-06-07,President Biden
53.0,41.4,11.6,2021-06-05,President Biden
53.0,41.4,11.6,2021-06-04,President Biden
53.3,42.4,10.9,2021-06-03,President Biden
53.9,41.9,12.0,2021-06-01,President Biden
54.0,41.7,12.3,2021-05-31,President Biden
53.5,42.3,11.2,2021-05-22,President Biden
53.5,42.3,11.2,2021-05-21,President Biden
53.3,42.7,10.6,2021-05-20,President Biden
53.6,42.6,11.0,2021-05-19,President Biden
54.2,41.8,12.4,2021-05-15,President Biden
54.3,41.7,12.6,2021-05-14,President Biden
54.0,41.8,12.2,2021-05-13,President Biden
53.9,41.8,12.1,2021-05-11,President Biden
54.0,41.7,12.3,2021-05-11,President Biden
54.1,41.6,12.5,2021-05-07,President Biden
54.0,41.6,12.4,2021-05-06,President Biden
53.8,42.2,11.6,2021-05-04,President Biden
53.1,42.1,11.0,2021-04-30,President Biden
53.1,42.0,11.1,2021-04-29,President Biden
53.1,42.0,11.1,2021-04-29,President Biden
53.1,42.1,11.0,2021-04-28,President Biden
53.1,41.8,11.3,2021-04-27,President Biden
53.1,41.5,11.6,2021-04-26,President Biden
53.1,41.5,11.6,2021-04-25,President Biden
52.8,41.4,11.4,2021-04-21,President Biden
52.7,41.4,11.3,2021-04-17,President Biden
55.7,40.5,15.2,2021-04-08,President Biden
54.8,41.2,13.6,2021-04-06,President Biden
53.8,42.2,11.6,2021-04-04,President Biden
53.7,42.2,11.5,2021-04-01,President Biden
53.3,43.0,10.3,2021-03-27,President Biden
53.1,43.1,10.0,2021-03-26,President Biden
53.9,41.4,12.5,2021-03-23,President Biden
53.6,41.7,11.9,2021-03-18,President Biden
52.8,42.0,10.8,2021-03-17,President Biden
52.8,42.0,10.8,2021-03-14,President Biden
52.8,42.0,10.8,2021-03-13,President Biden
53.0,40.3,12.7,2021-03-12,President Biden
53.7,39.9,13.8,2021-03-11,President Biden
54.6,39.9,14.7,2021-03-10,President Biden
54.6,39.9,14.7,2021-03-09,President Biden
54.4,40.0,14.4,2021-03-08,President Biden
55.3,39.9,15.4,2021-03-06,President Biden
55.4,39.8,15.6,2021-03-03,President Biden
54.4,38.9,15.5,2021-03-02,President Biden
54.0,40.2,13.8,2021-02-26,President Biden
54.0,40.2,13.8,2021-02-26,President Biden
54.0,39.5,14.5,2021-02-24,President Biden
54.6,39.5,15.1,2021-02-23,President Biden
54.3,39.4,14.9,2021-02-20,President Biden
54.4,39.3,15.1,2021-02-19,President Biden
55.5,39.3,16.2,2021-02-17,President Biden
54.4,36.8,17.6,2021-02-14,President Biden
54.4,36.8,17.6,2021-02-14,President Biden
54.3,36.9,17.4,2021-02-11,President Biden
54.1,36.5,17.6,2021-02-10,President Biden
53.9,36.6,17.3,2021-02-08,President Biden
53.8,36.7,17.1,2021-02-06,President Biden
54.6,36.3,18.3,2021-02-05,President Biden
54.3,36.0,18.3,2021-02-04,President Biden
54.2,36.1,18.1,2021-02-03,President Biden
54.9,35.7,19.2,2021-02-01,President Biden
55.8,35.5,20.3,2021-01-30,President Biden
55.7,36.0,19.7,2021-01-29,President Biden
54.8,36.8,18.0,2021-01-27,President Biden
